epoch,object,quant1,quant1_err,quant2,quant2_err,quant12_corr,quant_type,instrument
58612.20,1,-161.60,2.70,31.56,1.30,-0.33,radec,IRDIS
58670.00,1,-162.03,1.95,28.24,1.26,-0.17,radec,IRDIS
59412.00,1,-144.84,1.88,36.11,1.25,-0.22,radec,IRDIS
59703.20,1,-142.34,5.21,35.80,2.05,-0.58,radec,IRDIS
59779.06,1,-138.21,0.15,36.34,0.17,-0.58,radec,GRAVITY
60072.15,1,-130.41,0.20,37.00,0.28,-0.95,radec,GRAVITY
60126.98,1,-129.07,0.13,37.36,0.08,-0.97,radec,GRAVITY
