epoch,object,raoff,raoff_err,decoff,decoff_err,inst
58409.0,1,-0.761,0.005,-0.176,0.004,CHARIS
58423.0,1,-0.753,0.005,-0.178,0.005,NIRC2
59092.0,1,-0.740,0.005,-0.095,0.003,CHARIS
