epoch,object,raoff,raoff_err,decoff,decoff_err
0.0,2,-0.10755322314598041,0.0,-0.0184532157379705,0.0
36.89393939393939,2,-0.10715868697399307,0.0,-0.016289928970202365,0.0
73.78787878787878,2,-0.10671615667051579,0.0,-0.014119346305531731,0.0
110.68181818181817,2,-0.10622582080815164,0.0,-0.011942438649963595,0.0
147.57575757575756,2,-0.10568788306546269,0.0,-0.00976017941652792,0.0
184.46969696969694,2,-0.10510256224223025,0.0,-0.007573544484511113,0.0
221.36363636363635,2,-0.10447009228365367,0.0,-0.005383512159003397,0.0
258.25757575757575,2,-0.10379072231339657,0.0,-0.0031910631303386956,0.0
295.1515151515151,2,-0.10306471667538354,0.0,-0.000997180432998584,0.0
332.0454545454545,2,-0.10229235498424441,0.0,0.001197150596450163,0.0
368.9393939393939,2,-0.10147393218429544,0.0,0.0033909423628215823,0.0
405.8333333333333,2,-0.10060975861694037,0.0,0.005583205057620301,0.0
442.7272727272727,2,-0.0997001600963666,0.0,0.0077729467066441765,0.0
479.62121212121207,2,-0.09874547799340257,0.0,0.00995917322033217,0.0
516.5151515151515,2,-0.09774606932739498,0.0,0.012140888447319125,0.0
553.4090909090909,2,-0.09670230686595388,0.0,0.014317094231666518,0.0
590.3030303030303,2,-0.09561457923240364,0.0,0.016486790474246258,0.0
627.1969696969696,2,-0.0944832910207677,0.0,0.01864897519876402,0.0
664.090909090909,2,-0.09330886291810184,0.0,0.02080264462291781,0.0
700.9848484848484,2,-0.09209173183397949,0.0,0.02294679323519794,0.0
737.8787878787878,2,-0.09083235103691778,0.0,0.025080413877845178,0.0
774.7727272727273,2,-0.08953119029751952,0.0,0.027202497836495552,0.0
811.6666666666666,2,-0.08818873603808962,0.0,0.029312034937050622,0.0
848.560606060606,2,-0.08680549148846887,0.0,0.03140801365032645,0.0
885.4545454545454,2,-0.08538197684780902,0.0,0.033489421205045174,0.0
922.3484848484848,2,-0.08391872945199505,0.0,0.03555524370974724,0.0
959.2424242424241,2,-0.08241630394639882,0.0,0.03760446628421562,0.0
996.1363636363635,2,-0.08087527246362787,0.0,0.03963607320101663,0.0
1033.030303030303,2,-0.07929622480590881,0.0,0.04164904803777708,0.0
1069.9242424242423,2,-0.07767976863172116,0.0,0.043642373840829994,0.0
1106.8181818181818,2,-0.0760265296462699,0.0,0.04561503330087706,0.0
1143.712121212121,2,-0.07433715179535919,0.0,0.04756600894132965,0.0
1180.6060606060605,2,-0.07261229746219784,0.0,0.04949428332000448,0.0
1217.5,2,-0.07085264766663833,0.0,0.05139883924486442,0.0
1254.3939393939393,2,-0.06905890226631706,0.0,0.05327866000450918,0.0
1291.2878787878788,2,-0.06723178015912838,0.0,0.05513272961413402,0.0
1328.181818181818,2,-0.06537201939166379,0.0,0.056960033169309233,0.0
1365.0757575757575,2,-0.06348037772425671,0.0,0.05875955677188423,0.0
1401.9696969696968,2,-0.06155763231481194,0.0,0.06053028833770571,0.0
1438.8636363636363,2,-0.05960458025162515,0.0,0.062271217583107115,0.0
1475.7575757575755,2,-0.05762203867315252,0.0,0.06398133643883475,0.0
1512.651515151515,2,-0.05561084496441434,0.0,0.06565963940458777,0.0
1549.5454545454545,2,-0.053571856949634074,0.0,0.06730512392438241,0.0
1586.4393939393938,2,-0.05150595308020133,0.0,0.06891679078353846,0.0
1623.3333333333333,2,-0.04941403261699356,0.0,0.07049364452809073,0.0
1660.2272727272725,2,-0.047297015806036874,0.0,0.0720346939074308,0.0
1697.121212121212,2,-0.04515584404643051,0.0,0.07353895234098322,0.0
1734.0151515151513,2,-0.04299148004940387,0.0,0.07500543840971571,0.0
1770.9090909090908,2,-0.040804907987312525,0.0,0.07643317637327947,0.0
1807.8030303030303,2,-0.038597133631322535,0.0,0.07782119671356338,0.0
1844.6969696969695,2,-0.036369184476465394,0.0,0.07916853670543607,0.0
1881.590909090909,2,-0.03412210985268847,0.0,0.0804742410154292,0.0
1918.4848484848483,2,-0.031856981020456435,0.0,0.08173736232909719,0.0
1955.3787878787878,2,-0.029574891249393345,0.0,0.08295696200776304,0.0
1992.272727272727,2,-0.027276955878395622,0.0,0.0841321107753249,0.0
2029.1666666666665,2,-0.024964312355571294,0.0,0.08526188943576782,0.0
2066.060606060606,2,-0.02263812025630025,0.0,0.08634538962197874,0.0
2102.9545454545455,2,-0.020299561277642517,0.0,0.08738171457641612,0.0
2139.8484848484845,2,-0.01794983920725664,0.0,0.08836997996413032,0.0
2176.742424242424,2,-0.01559017986492652,0.0,0.08930931471856912,0.0
2213.6363636363635,2,-0.01322183101473396,0.0,0.0901988619205323,0.0
2250.530303030303,2,-0.010846062245850442,0.0,0.09103777971056283,0.0
2287.424242424242,2,-0.008464164819872848,0.0,0.09182524223497422,0.0
2324.3181818181815,2,-0.006077451482564595,0.0,0.09256044062562066,0.0
2361.212121212121,2,-0.0036872562378228724,0.0,0.09324258401341076,0.0
2398.1060606060605,2,-0.001294934081645034,0.0,0.09387090057545223,0.0
2435.0,2,0.0010981393061724155,0.0,0.09444463861559162,0.0
2471.893939393939,2,0.0034905679148959545,0.0,0.09496306767797721,0.0
2508.7878787878785,2,0.005880935802599226,0.0,0.0954254796931301,0.0
2545.681818181818,2,0.008267807545124906,0.0,0.0958311901558509,0.0
2582.5757575757575,2,0.010649728736605215,0.0,0.09617953933412349,0.0
2619.4696969696965,2,0.013025226543875801,0.0,0.09646989350799924,0.0
2656.363636363636,2,0.015392810317105432,0.0,0.09670164623725432,0.0
2693.2575757575755,2,0.01775097225892718,0.0,0.09687421965641375,0.0
