epoch,object,raoff,decoff,raoff_err,decoff_err
0.0,1,450.6841543184894,421.9076326450606,0.01,0.01
51.02040816326531,1,449.2764741482675,438.04900970906385,0.01,0.01
102.04081632653062,1,445.44728791909904,451.9862776915772,0.01,0.01
153.06122448979593,1,439.1179321348192,463.6286839685181,0.01,0.01
204.08163265306123,1,430.17585675630045,472.84791515540564,0.01,0.01
255.10204081632654,1,418.4719713414083,479.4724374310311,0.01,0.01
306.12244897959187,1,403.8173389064257,483.28037909703016,0.01,0.01
357.14285714285717,1,385.9793381178894,483.9906969930988,0.01,0.01
408.16326530612247,1,364.67756663282773,481.25239008174776,0.01,0.01
459.18367346938777,1,339.5800376835296,474.63162261250176,0.01,0.01
510.2040816326531,1,310.30071854865656,463.59687879672197,0.01,0.01
561.2244897959184,1,276.4003214152904,447.50284334362294,0.01,0.01
612.2448979591837,1,237.3937185563484,425.57486116611744,0.01,0.01
663.265306122449,1,192.769761386509,396.89804722508075,0.01,0.01
714.2857142857143,1,142.03308318467933,360.4191578758729,0.01,0.01
765.3061224489796,1,84.78304216027635,314.9762925613281,0.01,0.01
816.3265306122449,1,20.852047684687236,259.3825270580371,0.01,0.01
867.3469387755102,1,-49.46840389787108,192.60465581355794,0.01,0.01
918.3673469387755,1,-125.08874636103643,114.09246076531244,0.01,0.01
969.3877551020408,1,-203.6753353699706,24.30979956312615,0.01,0.01
1020.4081632653061,1,-281.1930260579934,-74.54356985421909,0.01,0.01
1071.4285714285716,1,-351.69816254016706,-177.8056550640092,0.01,0.01
1122.4489795918369,1,-407.813490427722,-278.09064717234304,0.01,0.01
1173.4693877551022,1,-442.23522156712545,-366.13080690247733,0.01,0.01
1224.4897959183675,1,-450.0052085538893,-432.9675001605461,0.01,0.01
1275.5102040816328,1,-430.39483123995797,-472.67765040997523,0.01,0.01
1326.530612244898,1,-387.1222955160196,-484.04061168877496,0.01,0.01
1377.5510204081634,1,-326.77148869768655,-470.1828585947054,0.01,0.01
1428.5714285714287,1,-256.5528105962256,-436.7513713969537,0.01,0.01
1479.591836734694,1,-182.63510676508716,-389.9204942329679,0.01,0.01
1530.6122448979593,1,-109.46795465403186,-335.09403393338613,0.01,0.01
1581.6326530612246,1,-39.83805845141467,-276.40672308912804,0.01,0.01
1632.6530612244899,1,24.75403165429632,-216.74299816205493,0.01,0.01
1683.6734693877552,1,83.6775818280479,-157.9747940702846,0.01,0.01
1734.6938775510205,1,136.8346222980739,-101.23656814885118,0.01,0.01
1785.7142857142858,1,184.42422735042004,-47.16014775087199,0.01,0.01
1836.734693877551,1,226.791523487859,3.949281188067366,0.01,0.01
1887.7551020408164,1,264.33688157300367,51.99025505435129,0.01,0.01
1938.7755102040817,1,297.4642986062226,96.98271751588322,0.01,0.01
1989.795918367347,1,326.5539316633201,139.01437721880228,0.01,0.01
2040.8163265306123,1,351.9489088146203,178.2064194774199,0.01,0.01
2091.8367346938776,1,373.95024780709224,214.6919203425866,0.01,0.01
2142.857142857143,1,392.8161509989211,248.60243215920502,0.01,0.01
2193.877551020408,1,408.7634728691813,280.0597315825623,0.01,0.01
2244.8979591836737,1,421.9700856579889,309.1707572133898,0.01,0.01
2295.918367346939,1,432.57742176960176,336.0244485027215,0.01,0.01
2346.9387755102043,1,440.69279444539876,360.68964087424973,0.01,0.01
2397.9591836734694,1,446.39128232501747,383.2134537762328,0.01,0.01
2448.979591836735,1,449.7170656626525,403.6197856857568,0.01,0.01
2500.0,1,450.6841543184894,421.90763264506023,0.01,0.01
